State, PC No. ,PC Name ,Category ,Winner,Gender,Party,Vote,Runner Up,Gender,Party,Vote
Andhra Pradesh,1,Adilabad,(ST),Ramesh Rathod,M,TDP,372268,Kotnak Ramesh,M,INC,257181
Andhra Pradesh,2,Peddapalli,(SC),Dr. Gaddam Vivekanand,M,INC,313748,Gomasa Srinivas,M,TRS,264731
Andhra Pradesh,3,Karimnagar,GEN,Ponnam Prabhakar,M,INC,317927,Vinod Kumar Boinapally,M,TRS,267684
Andhra Pradesh,4,Nizamabad,GEN,Madhu Goud Yaskhi,M,INC,296504,Bigala Ganesh Gupta,M,TRS,236114
Andhra Pradesh,5,Zahirabad,GEN,Suresh Kumar Shetkar,M,INC,395767,Syed Yousuf Ali,M,TRS,378360
Andhra Pradesh,6,Medak,GEN,Smt. M. Vijaya Shanthi,F,TRS,388839,Narendranath .C,M,INC,382762
Andhra Pradesh,7,Malkajgiri,GEN,Sathyanarayana Sarvey,M,INC,388368,Bheemsen.T,M,TDP,295042
Andhra Pradesh,8,Secunderabad,GEN,M. Anjan Kumar Yadav,M,INC,340549,Bandaru Dattatreya,M,BJP,170382
Andhra Pradesh,9,Hyderabad,GEN,Asaduddin Owaisi,M,AIMIM,308061,Zahid Ali Khan,M,TDP,194196
Andhra Pradesh,10,Chelvella,GEN,Jaipal Sudini Reddy,M,INC,420807,A.P.Jithender Reddy,M,TDP,402275
Andhra Pradesh,11,Mahabubnagar,GEN,Kalva Kuntla Chandrasekhar Rao,M,TRS,366569,Devarakonda Vittal Rao,M,INC,346385
Andhra Pradesh,12,Nagarkurnool,(SC),Dr. M. Jagannath,M,INC,422745,Guvvala Balaraju,M,TRS,374978
Andhra Pradesh,13,Nalgonda,GEN,Sukender Reddy Gutha,M,INC,493849,Suravaram Sudhakar Reddy,M,CPI,340867
Andhra Pradesh,14,Bhongir,GEN,Komatireddy Raj Gopal Reddy,M,INC,504103,Nomula Narsimhaiah,M,CPM,364215
Andhra Pradesh,15,Warangal,(SC),Rajaiah Siricilla,M,INC,396568,Ramagalla Parameshwar,M,TRS,271907
Andhra Pradesh,16,Mahabubabad,(ST),Porika Balram Naik,M,INC,394447,Kunja Srinivasa Rao,M,CPI,325490
Andhra Pradesh,17,Khammam,GEN,Nama Nageswara Rao,M,TDP,469368,Renuka Chowdhury,M,INC,344920
Andhra Pradesh,18,Araku,(ST),V. Kishore Chandra Deo,M,INC,360458,Midiyam Babu Rao,M,CPM,168014
Andhra Pradesh,19,Srikakulam,GEN,Dr. Kruparani Killi,F,INC,387694,Yerrnnaidu Kinjarapu,M,TDP,304707
Andhra Pradesh,20,Vizianagaram,GEN,"Dr. Jhansi Lakshmi Botcha ,",F,INC,411584,Appalanaidu Kondapalli,M,TDP,351013
Andhra Pradesh,21,Visakhapatnam,GEN,Smt. Daggubati Purandeswari,F,INC,368812,Palla Srinivasa Rao,M,PRAP,302126
Andhra Pradesh,22,Anakapalli,GEN,Sabbam Hari,M,INC,369968,Nookarapu Surya Prakasa Rao,M,TDP,317056
Andhra Pradesh,23,Kakinada,GEN,Dr. M. Mangapati Pallam Raju,M,INC,323607,Chalamalasetty Sunil,M,PRAP,289563
Andhra Pradesh,24,Amalapuram,(SC),G.V. Harsha Kumar,M,INC,368501,Pothula Prameela Devi,F,PRAP,328496
Andhra Pradesh,25,Rajahmundry,GEN,Aruna Kumar Vundavalli,M,INC,357449,M. Murali Mohan,M,TDP,355302
Andhra Pradesh,26,Kurnool,GEN,Kotla Jaya Surya Prakash Reddy,M,INC,382668,B.T.Naidu,M,TDP,308895
Andhra Pradesh,27,Narsapuram,GEN,Bapi Raju Kanumuri,M,INC,389422,Thota Sita Rama Lakshmi,F,TDP,274732
Andhra Pradesh,28,Eluru,GEN,Dr. Kavuri Samba Siva Rao,M,INC,423777,Maganti Venkateswara Rao (Babu),M,TDP,380994
Andhra Pradesh,29,Machilipatnam,GEN,Konakalla Narayana Rao,M,TDP,409936,Badiga Ramakrishna,M,INC,397480
Andhra Pradesh,30,Vijayawada,GEN,Rajagopal Lagadapati,M,INC,429394,Vamsi Mohan Vallabhaneni,M,TDP,416682
Andhra Pradesh,31,Guntur,GEN,Rayapati Sambasiva Rao,M,INC,403937,Madala Rajendra,M,TDP,364582
Andhra Pradesh,32,Narasaraopet,GEN,Modugula Venugopala Reddy,M,TDP,463358,Balashowry Vallabhaneni,M,INC,461751
Andhra Pradesh,33,Bapatla,(SC),Smt. Lakshmi Panabaka,F,INC,460757,Malyadri Sriram,M,TDP,391419
Andhra Pradesh,34,Ongole,GEN,Magunta Sreenivasulu Reddy,M,INC,450442,Madduluri Malakondaiah Yadav,M,TDP,371919
Andhra Pradesh,35,Nandyal,GEN,S.P.Y. Reddy,M,INC,400023,Nasyam Mohammed Farook,M,TDP,309176
Andhra Pradesh,36,Anantapur,GEN,Anantha Venkatarami Reddy,M,INC,457876,Kalava Srinivasulu,M,TDP,379955
Andhra Pradesh,37,Hindupur,GEN,Kristappa Nimmala,M,TDP,435753,P Khasim Khan,M,INC,412918
Andhra Pradesh,38,Kadapa,GEN,Y. S. Jagan Mohan Reddy,M,YSRCP,542611,Palem Srikanth Reddy,M,TDP,363765
Andhra Pradesh,<b>By Polls (2011)</b>,Kadapa,GEN,Y.S.J.M. Reddy,M,YSRCP,692251,D.L.R. Reddy,M,INC,146579
Andhra Pradesh,39,Nellore,GEN,Mekapati Rajamohan Reddy,M,YSRCP,430235,Vanteru Venu Gopala Reddy,M,TDP,375242
Andhra Pradesh,<b>By Polls (2012)</b>,Nellore,GEN,M.K.Reddy,M,YSRCP,535436,T. S. Reddy,M,INC,243691
Andhra Pradesh,40,Tirupati,(SC),Dr. Chinta Mohan,M,INC,428403,Varla Ramaiah,M,TDP,409127
Andhra Pradesh,41,Rajampet,GEN,Sai Prathap Annayyagari,M,INC,423910,Ramesh Kumar Reddy Reddappagari,M,TDP,313533
